Date,open,high,low,Close,adjusted_close,volume
12-04-2019,2038,2039,2007,2014.5,2014.5,3198081
11-04-2019,2045,2055,2017,2023,2023,2731877
10-04-2019,2083,2085.5,2036,2040.25,2040.25,3313062
09-04-2019,2070,2098,2057.6499,2091.5,2091.5,2690970
08-04-2019,2059,2075,2032.7,2070.75,2070.75,2194294
05-04-2019,2028.65,2054.3999,2018.8,2048.3,2048.3,3152103
04-04-2019,2078.1499,2079.7,2007.4,2014.5,2014.5,4397518
03-04-2019,2085,2089.6001,2058.1001,2079.3,2079.3,2939886
02-04-2019,2037.1,2086,2037,2079.3,2079.3,3719663
01-04-2019,2010,2039.95,2008.25,2031.65,2031.65,2095740
28-03-2019,1980,2014.6,1972.8,2000.3,2000.3,4054489
27-03-2019,1994,1998,1961,1967.9,1967.9,2266166
26-03-2019,1984,1994.95,1958.05,1982.65,1982.65,2316539
25-03-2019,2007.8,2007.8,1977.2,1984.25,1984.25,2429205
22-03-2019,2015,2016,1983.3,2005.65,2005.65,3148149
20-03-2019,2028,2044.8,2000,2015.05,2015.05,3091165
19-03-2019,2030,2030,1995.1,2022.8,2022.8,2373993
18-03-2019,2043,2064.6001,2011,2022.8,2022.8,2349915
15-03-2019,1998.9,2068.95,1991,2039.95,2039.95,5184318
14-03-2019,2004.95,2007.8,1981,1987.4,1987.4,1905495
13-03-2019,2013,2015.9,1978.6,2000.5,2000.5,1833163
12-03-2019,2014.05,2024.8,2003,2012.45,2012.45,2658550
11-03-2019,2028.9,2033,2003.65,2014.8,2014.8,3111689
08-03-2019,2025,2033,2010.05,2022.7,2022.7,2031071
07-03-2019,2005,2024.05,2000.2,2013.3,2013.3,2539884
06-03-2019,1989.3,2015,1985.05,1999.6,1999.6,2635047
05-03-2019,2005,2007,1976.6,1988.1,1988.1,2449622
01-03-2019,1995.05,2005,1980.35,1995.4,1995.4,4148548
28-02-2019,2060,2071.3501,1977.6,1983.45,1983.45,8454295
